Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,OBJECTID
"2018500276690","299807","84620",-3.418674,50.652604,"50","3","1","5",07/03/2018,"4",22:18:00,"580",E10000008,"3","376","6","40","0","-1","-1","0","0","0","4","2","2","4","2","2","1",E01019965,"446"
"2018500286774","299950","84086",-3.416508,50.647828,"50","3","2","1",03/04/2018,"3",10:52:00,"580",E10000008,"3","376","6","40","0","-1","-1","0","0","5","1","1","2","0","0","2","1",E01019965,"446"
"2018500310489","302180","84587",-3.385108,50.652711,"50","3","2","1",21/06/2018,"5",15:13:00,"580",E10000008,"4","3179","6","60","3","4","6","0","0","0","1","1","1","0","0","2","1",E01019964,"446"
"2018500330688","300039","83950",-3.415212,50.646621,"50","3","2","1",10/08/2018,"6",17:15:00,"580",E10000008,"3","376","6","40","9","-1","6","0","0","0","1","1","1","0","0","2","1",E01019964,"446"
"2018500800361","301179","84404",-3.399215,50.650897,"50","3","2","2",28/09/2018,"6",17:57:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1",E01019964,"446"
"2018500269667","299296","88113",-3.426852,50.683918,"50","3","2","1",31/01/2018,"4",07:20:00,"580",E10000008,"4","3179","6","60","3","4","6","0","0","0","6","1","2","1","0","2","1",E01019964,"447"
"2018500269700","303109","86406",-3.372447,50.66922,"50","3","2","1",30/01/2018,"3",17:30:00,"580",E10000008,"4","3180","6","60","6","4","4","3179","0","0","6","7","2","0","0","2","2",E01019964,"447"
"2018500273037","302264","86136",-3.38433,50.666651,"50","2","2","1",13/02/2018,"3",15:45:00,"580",E10000008,"6","0","6","60","0","-1","-1","0","0","0","1","1","2","0","0","2","1",E01019964,"447"
"2018500283067","303121","86395",-3.372275,50.669123,"50","3","2","1",22/03/2018,"5",17:20:00,"580",E10000008,"4","3180","6","40","6","4","4","3179","0","0","1","1","2","0","0","2","1",E01019964,"447"
"2018500288571","302737","85790",-3.377548,50.66362,"50","2","1","2",11/04/2018,"4",23:39:00,"580",E10000008,"4","3180","6","60","0","-1","-1","0","0","0","6","1","2","0","0","2","1",E01019964,"447"
